Project ID,Class,Requirement
1345,SR,'The software shall enforce data retention policies by automatically purging sensitive records after 6 months.'
736,SR,'The software should monitor system calls to detect keyloggers activity at runtime to ensure compliance with security best practices.'
902,SR,'The component will identify command-and-control (C2) communication patterns in network traffic using industry-standard cryptographic techniques.'
2061,NSR,'The portal should allow users to annotate and comment on vulnerability assessment findings for team collaboration.'
1171,SR,'The tool should capture and analyze TLS packets for signs of malicious activity to prevent exploitation by malicious actors.'
1866,SR,'The system shall sign API responses to ensure integrity during transmission to protect against unauthorized access.'
1348,SR,'The module will enforce certificate-based authentication before granting access to protected resources.'
699,SR,'The platform should log all network security events with timestamps for forensic analysis using industry-standard cryptographic techniques.'
1724,NSR,'The interface shall require no platform-specific dependencies outside of the documented prerequisites.'
1106,NSR,'The application will be deployable on Windows 10 and later operating systems without modification.'
816,NSR,'The platform should support database schema migrations to allow incremental system upgrades.'
691,SR,'The component shall detect the presence of backdoors in submitted Android applications using industry-standard cryptographic techniques.'
1096,SR,'The application must detect unauthorized modifications to critical system files in order to maintain system integrity.'
863,SR,'The platform will perform regular automated vulnerability scans against the deployed application.'
1763,SR,'The framework shall protect private keys from unauthorized extraction or export.'
1502,SR,'The module should identify open ports and running services on the target network in order to maintain system integrity.'
2101,NSR,'The dashboard will function correctly on both 32-bit and 64-bit system architectures.'
2201,NSR,'The software should support import of threat intelligence feeds in PDF format.'
784,SR,'The agent should require two-factor authentication (2FA) for all administrative operations to ensure compliance with security best practices.'
2989,NSR,'The system shall allow users to schedule automated detection at configured intervals.'
808,SR,'The module will detect SQL Injection vulnerabilities in submitted web applications as part of the defence-in-depth security strategy.'
654,NSR,'The software should provide a responsive design compatible with both desktop and mobile browsers.'
85,NSR,'The system shall be interactive and provide help information and guidance to the users. '
1551,SR,'The system shall monitor TLS network traffic to detect security anomalies to mitigate the risk of data breaches.'
1595,SR,'The software must enforce network segmentation policies to limit lateral movement to ensure compliance with security best practices.'
1214,SR,'The service should detect SSRF vulnerabilities in submitted web applications in accordance with the security policy.'
1662,NSR,'The platform shall allow users to schedule automated scanning at configured intervals.'
1687,NSR,'The system will generate analysis reports in under 15 seconds for typical samples.'
958,NSR,'The tool must run on any system that has the JVM version 3.8 or later installed.'
680,SR,'The software shall generate integrity reports for session stored in the system as part of the defence-in-depth security strategy.'
815,NSR,'The platform will generate automated summary emails of daily malware analysis activities.'
901,NSR,'The service shall allow signature databases and detection rules to be updated without system restart.'
157,SR,'The CPN may support encrypted communication with remote access devices  and the encrypted communication can be terminated either at the CNG or CND.'
1647,SR,'The tool should verify digital signatures before processing received sensitive using industry-standard cryptographic techniques.'
2030,SR,'The system shall use asymmetric encryption (Ed25519) for secure key exchange to ensure confidentiality and integrity of sensitive data.'
640,NSR,'The portal should allow multiple users to collaborate on scanning within a shared workspace.'
1546,NSR,'The interface must provide contextual help tooltips and user documentation throughout the interface.'
1772,SR,'The module should generate cryptographically secure session tokens for each authenticated user as part of the defence-in-depth security strategy.'
863,SR,'The system should automatically generate detailed reports of detected path traversal vulnerabilities to protect against unauthorized access.'
2682,SR,'The system will log all network security events with timestamps for forensic analysis to ensure compliance with security best practices.'
1322,SR,'The software will detect unauthorized modifications to critical system files to protect against unauthorized access.'
1041,NSR,'The portal should allow users to set and manage vulnerability assessment thresholds and alert rules.'
1210,SR,'The service will identify command-and-control (C2) communication patterns in network traffic using industry-standard cryptographic techniques.'
442,NSR,'At any time during a Card Session that has already contained a SELECT [by name] [first or only occurrence] command  the OPEN may receive a request to select a next Application (SELECT [by name] [next occurrence] command) on the Basic Logical Channel. The OPEN shall determine if the requested AID matches or partially matches another entry within the GlobalPlatform Registry and whether this entry is selectable.'
1531,SR,'The component must use asymmetric encryption (ECC) for secure key exchange.'
812,SR,'The platform should capture and analyze TCP/IP packets for signs of malicious activity to protect against unauthorized access.'
1134,NSR,'The platform must run on any system that has Java version 16 or later installed.'
1980,SR,'The tool should classify detected backdoors into known malware families in order to maintain system integrity.'
694,NSR,'The service shall allow administrators to configure detection thresholds without modifying source code.'
2290,SR,'The application must validate user credentials against the active directory before allowing access.'
1979,SR,'The platform shall detect outdated or vulnerable third-party libraries in analyzed applications in order to maintain system integrity.'
1594,NSR,'The software will implement transaction rollbacks to maintain data consistency during failures.'
1149,SR,'The service should detect distributed denial-of-service (DDoS) attack patterns in traffic in accordance with the security policy.'
2063,NSR,'The system shall support import of threat intelligence feeds in Excel (XLSX) format.'
2525,SR,'The component must perform static analysis to identify potential XML injection vulnerabilities.'
1005,SR,'The application should limit login attempts to 3 consecutive failures before locking the account as part of the defence-in-depth security strategy.'
100,SR,'The system shall be able to detect fraudulent transactions in rea-time. '
947,SR,'The framework will use asymmetric encryption (Ed25519) for secure key exchange.'
58,NSR,'The system shall be able to allow the user to upload and download stored files.  The system shall provide a platform that allows the user to upload files for storage and also to retrieve the files by downloading them when required. '
773,SR,'The framework should anonymize personally identifiable information before analysis using industry-standard cryptographic techniques.'
295,NSR,'CNG shall be able to classify intra-LAN traffic that is simply bridged by the CNG itself within the CPN.'
1286,NSR,'The tool shall be containerized using Docker for consistent deployment across environments.'
879,SR,'The framework shall validate user credentials against a hashed credential store before allowing access to mitigate the risk of data breaches.'
1133,SR,'The service will restrict access to confidential based on the user's clearance level to ensure compliance with security best practices.'
42,SR,'The system shall be able to detect spam messages and direct them to spam in real time '
731,SR,"'The service must enforce password complexity requirements including uppercase, lowercase, numbers, and special characters to prevent exploitation by malicious actors.'"
854,SR,'The component should implement account lockout mechanisms after repeated failed login attempts to ensure compliance with security best practices.'
2994,NSR,'The platform shall consume no more than 99.9% of available CPU resources during idle monitoring.'
1532,SR,'The application should generate cryptographically secure session tokens for each authenticated user to mitigate the risk of data breaches.'
968,SR,'The agent must verify server certificates before establishing WPA3 connections using industry-standard cryptographic techniques.'
2022,SR,'The tool should detect duplicate submissions of watermarked PDF documents by different authors in accordance with the security policy.'
1193,NSR,'The software must provide a RESTful API that allows external systems to trigger and retrieve scanning results.'
1827,SR,'The framework must mask sensitive user fields in logs and reports.'
703,SR,'The component shall require biometric authentication for all administrative operations to protect against unauthorized access.'
317,SR,'The run time environment shall be responsible to separate secure storage for the application code and data'
1700,NSR,'The interface will adhere to SOLID design principles to minimize coupling between components.'
85,SR,'The system shall ensure confidentiality of vital personal information collected at all the systems controllers. '
360,NSR,'The OPEN shall Ensure that application code has been signed by Application Providers represented on the card  if required.'
647,SR,'The service shall scan submitted code for XXE injection security flaws.'
749,NSR,'The interface should allow users to set and manage scanning thresholds and alert rules.'
79,SR,'The system shall have high availability in such a way that it remains accessible online even during maintenance. '
12,SR,'The system shall allow the Zimbabwe Anti-Corruption Commission to verify the signature using the group public key so that it will be convinced that it actually came from the organisation without the knowledge of the actual signer '
1662,NSR,'The interface shall provide a centralized logging framework for debugging and system monitoring.'
1216,SR,'The tool must generate cryptographically secure session tokens for each authenticated user to protect against unauthorized access.'
1563,NSR,'The system must achieve a throughput of at least 1000000 samples per hour in production.'
70,NSR,'The system should be simple and user friendly. '
1930,SR,'The agent shall identify open ports and running services on the target network as part of the defence-in-depth security strategy.'
977,SR,'The system will apply a visible digital watermark to audio files upon author submission in accordance with the security policy.'
1170,NSR,'The service should provide fail-safe behavior that prevents data loss in the event of an unexpected shutdown.'
1230,SR,'The platform must implement end-to-end encryption for confidential messages.'
648,NSR,'The system must support drag-and-drop file submission for ease of use.'
2217,SR,'The software will authenticate users using LDAP authentication in order to maintain system integrity.'
1011,NSR,'The software will be packaged as a standalone executable for simple installation on supported platforms.'
1208,NSR,'The tool must maintain a structured database of known vulnerability signatures and indicators.'
836,NSR,'The module will support bulk submission of samples for batch authentication processing.'
713,NSR,'The interface should maintain a false positive rate below 99.9% during vulnerability assessment operations.'
686,SR,'The tool should anonymize personally identifiable information before reporting.'
1966,NSR,'The application must provide administrators with a configurable dashboard for system management.'
17,NSR,'The system shall have a small learning curve for users to get accustomed to the application. '
1083,SR,'The framework will store user passwords using scrypt hashing with unique salts in accordance with the security policy.'
972,SR,'The component will anonymize personally identifiable information before transmission.'
1400,NSR,'The service will support Spanish language localization for international users.'
2013,NSR,'The tool shall allow users to schedule automated scanning at configured intervals.'
1561,NSR,'The application shall operate efficiently on systems with as little as 4GB of available RAM.'
839,NSR,'The interface will handle network disconnections gracefully and queue operations for retry.'
1491,SR,'The system shall provide a chain of custody record for all session processed by the system to protect against unauthorized access.'
